"Butterley"
274171,butterley,18
17530,butterley,1
32089,butterley,2
46619,butterley,3
61367,butterley,4
76249,butterley,5
91268,butterley,6
106312,butterley,7
121434,butterley,8
136558,butterley,9
151769,butterley,10
167007,butterley,11
182267,butterley,12
197554,butterley,13
212854,butterley,14
228150,butterley,15
243482,butterley,16
258839,butterley,17


"PBB11"
829150,paper,18
54022,paper,1
96323,paper,2
140249,paper,3
184758,paper,4
229852,paper,5
275221,paper,6
320851,paper,7
366633,paper,8
412570,paper,9
458646,paper,10
504756,paper,11
551003,paper,12
597267,paper,13
643631,paper,14
689907,paper,15
736251,paper,16
782678,paper,17


"Shakespeare"
226347812,shakespeare,18
11584150,shakespeare,1
23331938,shakespeare,2
35550568,shakespeare,3
47945976,shakespeare,4
60449497,shakespeare,5
73040017,shakespeare,6
85675210,shakespeare,7
98354214,shakespeare,8
111073829,shakespeare,9
123822390,shakespeare,10
136592589,shakespeare,11
149380574,shakespeare,12
162187623,shakespeare,13
175005701,shakespeare,14
187832444,shakespeare,15
200663300,shakespeare,16
213502436,shakespeare,17


"KJV"
199947981,kjv,18
10361160,kjv,1
20993149,kjv,2
31811305,kjv,3
42764410,kjv,4
53806086,kjv,5
64910511,kjv,6
76046537,kjv,7
87225303,kjv,8
98434371,kjv,9
109663253,kjv,10
120910502,kjv,11
132175929,kjv,12
143454255,kjv,13
154740139,kjv,14
166030939,kjv,15
177328035,kjv,16
188634878,kjv,17
