A	1	0	3	7	10	10	6.3333333333
B	2	4	4.25	6	9.25	10	6.6666666667
C	3	1	4	8	8.5	10	6.625
D	4	4	7	8	9	10	7.7142857143
E	5	7	7	8	8	10	8
F	6	4	6	7	8.75	10	7.1666666667

