# label actual min lq av uq max
A	1	0	6	8	10	10	6.7777777778
B	2	3	7.25	8.5	9	10	7.6666666667
C	3	1	6	8.5	9.25	10	7.125
D	4	7	7.5	8	8.5	10	8.1428571429
E	5	7	8	9	9	10	8.6
F	6	4	5.25	6.5	7.75	9	6.5

