A	1	0	3	6	9	10	5.6666666667
B	2	3	5	5.5	6.75	10	6
C	3	0	0.75	4	8.25	10	4.5
D	4	3	4.5	5	7	10	5.8571428571
E	5	8	8	8	9	10	8.6
F	6	1	3.5	5	8	9	5.3333333333

