"Butterley"
531848,butterley,18
31930,butterley,1
64291,butterley,2
95887,butterley,3
126796,butterley,4
157140,butterley,5
187072,butterley,6
216624,butterley,7
245878,butterley,8
274989,butterley,9
303870,butterley,10
332730,butterley,11
361463,butterley,12
390044,butterley,13
418638,butterley,14
447049,butterley,15
475377,butterley,16
503640,butterley,17


"PBB11"
1561667,paper,18
101905,paper,1
196207,paper,2
289052,paper,3
379414,paper,4
468116,paper,5
555493,paper,6
641772,paper,7
727261,paper,8
812113,paper,9
896576,paper,10
980742,paper,11
1064715,paper,12
1148195,paper,13
1231386,paper,14
1314219,paper,15
1396881,paper,16
1479326,paper,17


"Shakespeare"
394695631,shakespeare,18
25027028,shakespeare,1
49065778,shakespeare,2
72627433,shakespeare,3
95571261,shakespeare,4
118056164,shakespeare,5
140207102,shakespeare,6
162084490,shakespeare,7
183752788,shakespeare,8
205255713,shakespeare,9
226616801,shakespeare,10
247920454,shakespeare,11
269118936,shakespeare,12
290226696,shakespeare,13
311250127,shakespeare,14
332200976,shakespeare,15
353087074,shakespeare,16
373920741,shakespeare,17


"KJV"
366209651,kjv,18
24034039,kjv,1
46464736,kjv,2
68082923,kjv,3
89167098,kjv,4
109873251,kjv,5
130314128,kjv,6
150531647,kjv,7
170581629,kjv,8
190484682,kjv,9
210255171,kjv,10
229997301,kjv,11
249649338,kjv,12
269224530,kjv,13
288732375,kjv,14
308176525,kjv,15
327566164,kjv,16
346909336,kjv,17
