"Butterley"
241346,butterley,18
24426,butterley,1
37216,butterley,2
50042,butterley,3
62793,butterley,4
75614,butterley,5
88401,butterley,6
101167,butterley,7
113974,butterley,8
126737,butterley,9
139455,butterley,10
152266,butterley,11
164982,butterley,12
177695,butterley,13
190585,butterley,14
203376,butterley,15
215932,butterley,16
228635,butterley,17


"PBB11"
726366,paper,18
65259,paper,1
104074,paper,2
142903,paper,3
181621,paper,4
220438,paper,5
259318,paper,6
298121,paper,7
336950,paper,8
375854,paper,9
414714,paper,10
453605,paper,11
492543,paper,12
531425,paper,13
570469,paper,14
609265,paper,15
648364,paper,16
687293,paper,17


"Shakespeare"
191783829,shakespeare,18
11759893,shakespeare,1
22291235,shakespeare,2
32818020,shakespeare,3
43363612,shakespeare,4
53933527,shakespeare,5
64514203,shakespeare,6
75107108,shakespeare,7
85700661,shakespeare,8
96304928,shakespeare,9
106905068,shakespeare,10
117510753,shakespeare,11
128117153,shakespeare,12
138727333,shakespeare,13
149338320,shakespeare,14
159947730,shakespeare,15
170560033,shakespeare,16
181172680,shakespeare,17


"KJV"
167506108,kjv,18
9883630,kjv,1
19124561,kjv,2
28368222,kjv,3
37641048,kjv,4
46928052,kjv,5
56221090,kjv,6
65517452,kjv,7
74817649,kjv,8
84119166,kjv,9
93423035,kjv,10
102722860,kjv,11
112022612,kjv,12
121315763,kjv,13
130592398,kjv,14
139849054,kjv,15
149088318,kjv,16
158307234,kjv,17
