A	1	0	7	9	10	10	7.1111111111
B	2	3	5.25	6.5	7	10	6.3333333333
C	3	0	2.5	8	8.5	10	6
D	4	1	4.5	6	7.5	10	5.8571428571
E	5	4	8	8	10	10	8
F	6	4	5.5	7.5	8.75	9	7

