1,kjv,18,82526810
1,kjv,1,4740902
1,kjv,2,9499707
1,kjv,3,14272892
1,kjv,4,19084025
1,kjv,5,23891325
1,kjv,6,28637941
1,kjv,7,33374139
1,kjv,8,38064333
1,kjv,9,42724479
1,kjv,10,47329579
1,kjv,11,51920521
1,kjv,12,56410094
1,kjv,13,60871078
1,kjv,14,65287289
1,kjv,15,69668160
1,kjv,16,73986700
1,kjv,17,78284193
2,kjv,18,74210958
2,kjv,1,3620052
2,kjv,2,7635926
2,kjv,3,11758902
2,kjv,4,15971365
2,kjv,5,20243219
2,kjv,6,24486856
2,kjv,7,28758042
2,kjv,8,33012173
2,kjv,9,37271048
2,kjv,10,41495376
2,kjv,11,45707484
2,kjv,12,49869372
2,kjv,13,54029352
2,kjv,14,58133116
2,kjv,15,62213728
2,kjv,16,66240694
2,kjv,17,70251925
3,kjv,18,66261697
3,kjv,1,3013454
3,kjv,2,6447848
3,kjv,3,10043016
3,kjv,4,13760014
3,kjv,5,17548916
3,kjv,6,21339240
3,kjv,7,25161812
3,kjv,8,28985115
3,kjv,9,32818567
3,kjv,10,36634555
3,kjv,11,40446061
3,kjv,12,44211152
3,kjv,13,47957481
3,kjv,14,51672788
3,kjv,15,55375573
3,kjv,16,59025835
3,kjv,17,62667230
4,kjv,18,62952922
4,kjv,1,3015534
4,kjv,2,6304117
4,kjv,3,9708945
4,kjv,4,13213206
4,kjv,5,16797698
4,kjv,6,20391994
4,kjv,7,24029935
4,kjv,8,27673951
4,kjv,9,31332287
4,kjv,10,34972740
4,kjv,11,38623521
4,kjv,12,42221111
4,kjv,13,45797168
4,kjv,14,49333166
4,kjv,15,52838200
4,kjv,16,56267229
4,kjv,17,59649939
