"Butterley"
267936,butterley,18
20169,butterley,1
33886,butterley,2
47932,butterley,3
62123,butterley,4
76467,butterley,5
90940,butterley,6
105448,butterley,7
120034,butterley,8
134648,butterley,9
149370,butterley,10
164111,butterley,11
178889,butterley,12
193685,butterley,13
208502,butterley,14
223333,butterley,15
238203,butterley,16
253078,butterley,17


"PBB11"
810693,paper,18
56268,paper,1
98017,paper,2
140648,paper,3
183871,paper,4
227599,paper,5
271631,paper,6
315887,paper,7
360377,paper,8
404984,paper,9
449764,paper,10
494631,paper,11
539633,paper,12
584682,paper,13
629822,paper,14
674911,paper,15
720101,paper,16
765372,paper,17


"Shakespeare"
216230562,shakespeare,18
11737436,shakespeare,1
23102921,shakespeare,2
34686760,shakespeare,3
46428448,shakespeare,4
58282321,shakespeare,5
70216122,shakespeare,6
82208967,shakespeare,7
94254439,shakespeare,8
106342858,shakespeare,9
118466420,shakespeare,10
130620274,shakespeare,11
142799020,shakespeare,12
155001041,shakespeare,13
167220417,shakespeare,14
179455881,shakespeare,15
191702522,shakespeare,16
203961811,shakespeare,17


"KJV"
189787144,kjv,18
10109587,kjv,1
20128455,kjv,2
30328815,kjv,3
40666287,kjv,4
51091660,kjv,5
61579969,kjv,6
72120296,kjv,7
82703916,kjv,8
93322920,kjv,9
103971681,kjv,10
114646757,kjv,11
125343510,kjv,12
136056658,kjv,13
146783670,kjv,14
157521310,kjv,15
168267575,kjv,16
179023843,kjv,17
